,scale1,scale2,scale3,scale4,scale5,scale6,scale7,scale8,scale9,scale10,scale11,scale12,scale13,scale14,scale15
1,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0
2,-1,0,0,0,0,-1,-1,0,0,-1,0,1,0,-1,1
3,1,2,0,0,-1,1,0,1,1,-1,-1,0,0,1,-2
4,0,1,-1,0,-2,-1,-1,2,0,1,0,0,0,0,-1
5,0,0,0,-1,1,0,1,1,1,0,1,1,0,0,1
6,1,2,1,1,0,1,0,0,-1,0,-1,-1,1,1,-1
7,2,2,1,1,-1,2,0,1,1,0,-2,-2,1,2,-2
8,1,1,-1,1,1,1,0,0,1,-1,0,0,-1,0,0
9,0,0,-1,0,0,0,-1,0,0,-1,0,0,-1,-1,0
10,0,-1,0,0,1,-1,2,-1,0,-1,1,0,0,-1,0
11,-1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,0
12,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,-1,1
13,0,1,0,0,0,0,1,0,1,0,0,1,-1,-1,-1
14,1,1,0,0,-1,1,-1,1,0,0,-1,-1,0,0,-1
15,-2,0,-1,1,0,-1,-1,0,-1,-1,1,1,-1,-1,1
16,0,1,0,0,0,0,-1,0,0,0,0,0,-1,0,-1
17,2,2,1,0,0,2,1,-1,2,-1,-2,-2,2,1,0
18,1,2,-1,0,-1,1,-1,1,1,-1,-1,0,0,1,-1
19,0,0,0,2,1,-1,2,-2,1,-2,1,1,0,0,1
20,0,1,0,0,0,0,-1,0,1,-1,0,0,0,0,-1
4,1,1,-2,0,-1,1,-1,2,0,1,0,0,0,0,-1
14,1,1,0,0,1,0,-1,1,0,0,0,-1,0,1,-1
