"","scale1","scale2","scale3","scale4","scale5","scale6","scale7","scale8","scale9","scale10","scale11","scale12","scale13","scale14","scale15"
"1",1.25,0.375,-0.25,-0.25,1.25,0.25,0.75,1,1.75,-0.625,-0.125,0.75,-0.875,-0.625,0.125
"2",-0.375,-0.25,-0.125,0.5,0.25,-1,-0.75,-0.125,0.375,-0.75,0.75,1,-0.375,-0.625,0.75
"3",1.25,1.625,0.25,-0.25,-0.375,1.125,0.625,0.625,1.75,-0.375,-0.75,0.125,0.25,0.625,-1.5
"4",-0.25,0.75,0.375,0.25,-1.25,-0.125,-1.125,1.5,-0.75,0.75,-0.25,0,-0.25,0.375,-1.5
"5",-0.125,-0.75,0.125,0.125,1.125,-0.375,0.25,0.75,0.5,0.25,0.25,0.75,0.375,0.125,0.375
"6",1.5,1.25,0.875,1.125,0.375,0.875,0.375,-0.125,-0.125,-0.25,-0.625,-0.875,1.25,1.125,-0.25
"7",1.875,2,1.625,0.5,-0.625,1.5,0.625,0.25,1,0.25,-1.125,-1,0.875,1,-1
"8",0.875,0.125,-1.125,0.625,0.375,1.125,0.75,-0.875,0.875,0.375,0.375,0.125,-1.25,-0.5,0.625
"9",-0.25,0,-0.5,0.375,0.25,-0.25,-1.375,0.125,0,0.5,0.25,0.25,-0.5,-1.125,0.375
"10",-0.125,-0.625,0.5,-1,1,-0.375,1.25,-1.375,-0.125,-1.375,0.125,-0.25,1.25,-0.25,1.125
"11",0,1,-0.125,0.875,-0.75,-0.625,-0.5,0.5,-1.375,-0.375,-0.5,-0.625,1.125,1.25,-0.875
"12",-0.375,-1.125,1.25,0,0.5,0.75,-1.125,0.25,1.125,-0.5,-0.25,-0.125,-0.625,-0.625,1
"13",-0.875,0.25,-0.75,0,0.25,-0.875,-0.75,-0.375,0.375,-0.625,0.75,0.875,-1.125,-1.875,0.25
"14",1.75,1.75,1.5,0,-0.625,1.375,-0.375,1.625,0.25,0.875,-1.125,-0.375,0.25,0.875,-1.375
"15",-1.625,-1.375,-0.75,0.25,0.25,-1.5,-1.625,0.25,-1,-0.5,0.75,0.625,-1,-1.5,1.125
"16",-0.25,0.625,-0.125,-0.125,0.375,-0.375,-1,0.375,0.625,-0.125,0.25,0.375,-0.25,-0.375,-0.375
"17",1.625,1.75,0.875,0.125,0.375,1.125,1.25,-0.875,1.375,-0.5,-1.25,-1.375,1.5,1,-0.375
"18",1.25,1.5,-1,-0.125,-0.125,0.5,-0.25,1.125,0.75,-0.125,-0.625,-0.125,0.375,0.5,-0.25
"19",-0.125,-1,-0.875,1.25,0.25,-1,0.75,-1.75,1.125,-1.5,0.75,0.875,-0.25,-0.5,0.875
"20",-0.5,0.25,0,0.375,-0.125,-0.625,-1.125,-0.25,0.875,-0.375,0.375,0.25,-0.125,-0.5,-0.75
